,Survived,Pclass,Sex,Age,Fare,Embarked,NameLength,Title,Family_size,Alone,Deck,FamilyBin
0,0,3,1,22.0,7.25,2,23,2,2,0,8,2
1,1,1,0,38.0,71.2833,0,51,3,2,0,2,2
2,1,3,0,26.0,7.925,2,22,1,1,1,8,1
3,1,1,0,35.0,53.1,2,44,3,2,0,2,2
4,0,3,1,35.0,8.05,2,24,2,1,1,8,1
5,0,3,1,35.2187222944,8.4583,1,16,2,1,1,8,1
6,0,1,1,54.0,51.8625,2,23,2,1,1,4,1
7,0,3,1,2.0,21.075,2,30,0,5,0,8,0
8,1,3,0,27.0,11.1333,2,49,3,3,0,8,2
9,1,2,0,14.0,30.0708,0,35,3,2,0,8,2
10,1,3,0,4.0,16.7,2,31,1,3,0,6,2
11,1,1,0,58.0,26.55,2,24,1,1,1,2,1
12,0,3,1,20.0,8.05,2,30,2,1,1,8,1
13,0,3,1,39.0,31.275,2,27,2,7,0,8,0
14,0,3,0,14.0,7.8542,2,36,1,1,1,8,1
15,1,2,0,55.0,16.0,2,32,3,1,1,8,1
16,0,3,1,2.0,29.125,1,20,0,6,0,8,0
17,1,2,1,31.99741245,13.0,2,28,2,1,1,8,1
18,0,3,0,31.0,18.0,2,55,3,2,0,8,2
19,1,3,0,37.6748380952,7.225,0,23,3,1,1,8,1
20,0,2,1,35.0,26.0,2,20,2,1,1,8,1
21,1,2,1,34.0,13.0,2,21,2,1,1,3,1
22,1,3,0,15.0,8.0292,1,27,1,1,1,8,1
23,1,1,1,28.0,35.5,2,28,2,1,1,0,1
24,0,3,0,8.0,21.075,2,29,1,5,0,8,0
25,1,3,0,38.0,31.3875,2,57,3,7,0,8,0
26,0,3,1,28.4076505952,7.225,0,23,2,1,1,8,1
27,0,1,1,19.0,263.0,2,30,2,6,0,2,0
28,1,3,0,18.39125,7.8792,1,29,1,1,1,8,1
29,0,3,1,32.9542940476,7.8958,2,19,2,1,1,8,1
30,0,1,1,40.0,27.7208,0,24,4,1,1,8,1
31,1,1,0,41.564,146.5208,0,46,3,2,0,1,2
32,1,3,0,18.261,7.75,1,24,1,1,1,8,1
33,0,2,1,66.0,10.5,2,21,2,1,1,8,1
34,0,1,1,28.0,82.1708,0,23,2,2,0,8,2
35,0,1,1,42.0,52.0,2,30,2,2,0,8,2
36,1,3,1,29.1952291667,7.2292,0,16,2,1,1,8,1
37,0,3,1,21.0,8.05,2,24,2,1,1,8,1
38,0,3,0,18.0,18.0,2,34,1,3,0,8,2
39,1,3,0,14.0,11.2417,0,27,1,2,0,8,2
40,0,3,0,40.0,9.475,2,46,3,2,0,8,2
41,0,2,0,27.0,21.0,2,56,3,2,0,8,2
42,0,3,1,32.929822619,7.8958,0,19,2,1,1,8,1
43,1,2,0,3.0,41.5792,0,40,1,4,0,8,2
44,1,3,0,19.0,7.8792,1,29,1,1,1,8,1
45,0,3,1,30.975823088,8.05,2,24,2,1,1,8,1
46,0,3,1,32.8237583333,15.5,1,17,2,2,0,8,2
47,1,3,0,17.2431071429,7.75,1,25,1,1,1,8,1
48,0,3,1,26.53025,21.6792,0,19,2,3,0,8,2
49,0,3,0,18.0,17.8,2,45,3,2,0,8,2
50,0,3,1,7.0,39.6875,2,26,0,6,0,8,0
51,0,3,1,21.0,7.8,2,28,2,1,1,8,1
52,1,1,0,49.0,76.7292,0,40,3,2,0,3,2
53,1,2,0,29.0,26.0,2,50,3,2,0,8,2
54,0,1,1,65.0,61.9792,0,30,2,2,0,1,2
55,1,1,1,46.643,35.5,2,17,2,1,1,2,1
56,1,2,0,21.0,10.5,2,17,1,1,1,8,1
57,0,3,1,28.5,7.2292,0,19,2,1,1,8,1
58,1,2,0,5.0,27.75,2,28,1,4,0,8,2
59,0,3,1,11.0,46.9,2,34,0,8,0,8,0
60,0,3,1,22.0,7.2292,0,21,2,1,1,8,1
61,1,1,0,38.0,80.0,2,19,1,1,1,1,1
62,0,1,1,45.0,83.475,2,27,2,2,0,2,2
63,0,3,1,4.0,27.9,2,21,0,6,0,8,0
64,0,1,1,46.1258125,27.7208,0,21,2,1,1,8,1
65,1,3,1,4.29309666667,15.2458,0,24,0,3,0,8,2
66,1,2,0,29.0,10.5,2,28,3,1,1,5,1
67,0,3,1,19.0,8.1583,2,24,2,1,1,8,1
68,1,3,0,17.0,7.925,2,31,1,7,0,8,0
69,0,3,1,26.0,8.6625,2,17,2,3,0,8,2
70,0,2,1,32.0,10.5,2,26,2,1,1,8,1
71,0,3,0,16.0,46.9,2,26,1,8,0,8,0
72,0,2,1,21.0,73.5,2,20,2,1,1,8,1
73,0,3,1,26.0,14.4542,0,27,2,2,0,8,2
74,1,3,1,32.0,56.4958,2,13,2,1,1,8,1
75,0,3,1,25.0,7.65,2,23,2,1,1,5,1
76,0,3,1,28.8062688492,7.8958,2,17,2,1,1,8,1
77,0,3,1,30.975823088,8.05,2,24,2,1,1,8,1
78,1,2,1,0.83,29.0,2,29,0,3,0,8,2
79,1,3,0,30.0,12.475,2,24,1,1,1,8,1
80,0,3,1,22.0,9.0,2,20,2,1,1,8,1
81,1,3,1,29.0,9.5,2,27,2,1,1,8,1
82,1,3,0,19.28,7.7875,1,30,1,1,1,8,1
83,0,1,1,28.0,47.1,2,23,2,1,1,8,1
84,1,2,0,17.0,10.5,2,19,1,1,1,8,1
85,1,3,0,33.0,15.85,2,55,3,4,0,8,2
86,0,3,1,16.0,34.375,2,22,2,5,0,8,0
87,0,3,1,26.745714881,8.05,2,29,2,1,1,8,1
88,1,1,0,23.0,263.0,2,26,1,6,0,2,0
89,0,3,1,24.0,8.05,2,22,2,1,1,8,1
90,0,3,1,29.0,8.05,2,20,2,1,1,8,1
91,0,3,1,20.0,7.8542,2,26,2,1,1,8,1
92,0,1,1,46.0,61.175,2,27,2,2,0,4,2
93,0,3,1,26.0,20.575,2,23,2,4,0,8,2
94,0,3,1,59.0,7.25,2,17,2,1,1,8,1
95,0,3,1,22.5330291743,8.05,2,27,2,1,1,8,1
96,0,1,1,71.0,34.6542,0,25,2,1,1,0,1
97,1,1,1,23.0,63.3583,0,31,2,2,0,3,2
98,1,2,0,34.0,23.0,2,36,3,2,0,8,2
99,0,2,1,34.0,26.0,2,17,2,2,0,8,2
100,0,3,0,28.0,7.8958,2,23,1,1,1,8,1
101,0,3,1,30.5915083333,7.8958,2,32,2,1,1,8,1
102,0,1,1,21.0,77.2875,2,25,2,2,0,3,2
103,0,3,1,33.0,8.6542,2,26,2,1,1,8,1
104,0,3,1,37.0,7.925,2,30,2,3,0,8,2
105,0,3,1,28.0,7.8958,2,21,2,1,1,8,1
106,1,3,0,21.0,7.65,2,32,1,1,1,8,1
107,1,3,1,19.8625785714,7.775,2,22,2,1,1,8,1
108,0,3,1,38.0,7.8958,2,15,2,1,1,8,1
109,1,3,0,13.3862083333,24.15,1,19,1,2,0,8,2
110,0,1,1,47.0,52.0,2,30,2,1,1,2,1
111,0,3,0,14.5,14.4542,0,20,1,2,0,8,2
112,0,3,1,22.0,8.05,2,22,2,1,1,8,1
113,0,3,0,20.0,9.825,2,23,1,2,0,8,2
114,0,3,0,17.0,14.4583,0,21,1,1,1,8,1
115,0,3,1,21.0,7.925,2,21,2,1,1,8,1
116,0,3,1,70.5,7.75,1,20,2,1,1,8,1
117,0,2,1,29.0,21.0,2,31,2,2,0,8,2
118,0,1,1,24.0,247.5208,0,24,2,2,0,1,2
119,0,3,0,2.0,31.275,2,33,1,7,0,8,0
120,0,2,1,21.0,73.5,2,27,2,3,0,8,2
121,0,3,1,22.756146833,8.05,2,26,2,1,1,8,1
122,0,2,1,32.5,30.0708,0,20,2,2,0,8,2
123,1,2,0,32.5,13.0,2,19,1,1,1,4,1
124,0,1,1,54.0,77.2875,2,27,2,2,0,3,2
125,1,3,1,12.0,11.2417,0,28,0,2,0,8,2
126,0,3,1,39.35555,7.75,1,19,2,1,1,8,1
127,1,3,1,24.0,7.1417,2,25,2,1,1,8,1
128,1,3,0,5.17087833333,22.3583,0,17,1,3,0,5,2
